Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_Name,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_ID,rsc:3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2020-07-01; End_Date=2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,2022-11-18T21:28:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created_By,MPS for RSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Lab on a Chip,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14730189/2001,rsc:LC,1473-0197,1473-0189,https://www.rsc.org/Publishing/Journals/LC/Index.asp,Total_Item_Requests,18,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,4,5,1,0,1
Lab on a Chip,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14730189/2001,rsc:LC,1473-0197,1473-0189,https://www.rsc.org/Publishing/Journals/LC/Index.asp,Unique_Item_Requests,16,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,4,3,1,0,1
Materials Chemistry Frontiers,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20521537/2017,rsc:QM,,2052-1537,https://www.rsc.org/Publishing/Journals/QM/Index.asp,Total_Item_Requests,17,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,1,2,3,1,2
Materials Chemistry Frontiers,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20521537/2017,rsc:QM,,2052-1537,https://www.rsc.org/Publishing/Journals/QM/Index.asp,Unique_Item_Requests,11,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,1
Metallomics,Royal Society of Chemistry,,pubs.rsc.org,10.1039/1756591X/2009,rsc:MT,1756-5901,1756-591X,https://www.rsc.org/Publishing/Journals/MT/Index.asp,Total_Item_Requests,12,0,0,1,0,0,0,0,0,2,2,0,1,0,0,3,1,0,0,0,2,0,0,0,0
Metallomics,Royal Society of Chemistry,,pubs.rsc.org,10.1039/1756591X/2009,rsc:MT,1756-5901,1756-591X,https://www.rsc.org/Publishing/Journals/MT/Index.asp,Unique_Item_Requests,11,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,1,0,0,0,2,0,0,0,0
Molecular BioSystems,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17422051/2005,rsc:MB,1742-206X,1742-2051,https://www.rsc.org/Publishing/Journals/MB/Index.asp,Total_Item_Requests,25,1,0,1,1,10,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4
Molecular BioSystems,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17422051/2005,rsc:MB,1742-206X,1742-2051,https://www.rsc.org/Publishing/Journals/MB/Index.asp,Unique_Item_Requests,19,1,0,1,1,6,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3
Molecular Omics,Royal Society of Chemistry,,pubs.rsc.org,10.1039/25154184/2018,rsc:MO,,2515-4184,https://www.rsc.org/Publishing/Journals/MO/Index.asp,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Molecular Omics,Royal Society of Chemistry,,pubs.rsc.org,10.1039/25154184/2018,rsc:MO,,2515-4184,https://www.rsc.org/Publishing/Journals/MO/Index.asp,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Molecular Systems Design & Engineering,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20589689/2016,rsc:ME,,2058-9689,https://www.rsc.org/Publishing/Journals/ME/Index.asp,Total_Item_Requests,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molecular Systems Design & Engineering,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20589689/2016,rsc:ME,,2058-9689,https://www.rsc.org/Publishing/Journals/ME/Index.asp,Unique_Item_Requests,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
